prompt,output_scores,refusal_count,total_outputs
"Categorize the following sentence: ""She held the book tightly in her hands"".","[0.010120391845703125, 0.007106781005859375, 0.00835418701171875, 0.0055599212646484375, 0.0066375732421875, 0.0039081573486328125, 0.0058746337890625, 0.0048694610595703125, 0.0030841827392578125, 0.007770538330078125, 0.022724151611328125, 0.0117645263671875, 0.03209686279296875, 0.179473876953125, 0.019012451171875, 0.006221771240234375, 0.005069732666015625, 0.006534576416015625, 0.005710601806640625, 0.00467681884765625, 0.00716400146484375, 0.004932403564453125, 0.00638580322265625, 0.00620269775390625, 0.004894256591796875]",24,25
Create a question which can be asked for dialogue.,"[0.0121307373046875, 0.0121307373046875, 0.0121307373046875, 0.0234527587890625, 0.0121307373046875, 0.041351318359375, 0.01558685302734375, 0.041351318359375, 0.02199554443359375, 0.0183563232421875, 0.071014404296875, 0.293701171875, 0.0430755615234375, 0.0558319091796875, 0.01268768310546875, 0.0243988037109375, 0.02779388427734375, 0.028350830078125, 0.075531005859375, 0.117919921875, 0.0194854736328125, 0.01345062255859375, 0.0145416259765625, 0.01345062255859375, 0.01104736328125]",20,25
How can you use a GPT-2 model to generate text?,"[0.00543975830078125, 0.00543975830078125, 0.00543975830078125, 0.005863189697265625, 0.005863189697265625, 0.005863189697265625, 0.005863189697265625, 0.005863189697265625, 0.005863189697265625, 0.005863189697265625, 0.005863189697265625, 0.005863189697265625, 0.005863189697265625, 0.005863189697265625, 0.005863189697265625, 0.005863189697265625, 0.005863189697265625, 0.005863189697265625, 0.005863189697265625, 0.005863189697265625, 0.387451171875, 0.501708984375, 0.480712890625, 0.3753662109375, 0.44140625]",20,25
Categorize the following sentence: The car is red.,"[0.2991943359375, 0.2818603515625, 0.2733154296875, 0.132476806640625, 0.2449951171875, 0.096923828125, 0.0102691650390625, 0.008876800537109375, 0.0169830322265625, 0.060546875, 0.00397491455078125, 0.00473785400390625, 0.00669097900390625, 0.0051479339599609375, 0.007129669189453125, 0.02150726318359375, 0.02115631103515625, 0.01351165771484375, 0.014007568359375, 0.02115631103515625, 0.004039764404296875, 0.0042552947998046875, 0.00536346435546875, 0.005397796630859375, 0.004711151123046875]",18,25
Create a sentence with a relative clause,"[0.0495147705078125, 0.0495147705078125, 0.0495147705078125, 0.0495147705078125, 0.0495147705078125, 0.0452880859375, 0.0452880859375, 0.0452880859375, 0.0452880859375, 0.0452880859375, 0.03572845458984375, 0.03572845458984375, 0.03572845458984375, 0.03572845458984375, 0.03572845458984375, 0.0304107666015625, 0.0304107666015625, 0.0265350341796875, 0.03479766845703125, 0.083221435546875, 0.0384063720703125, 0.0384063720703125, 0.0384063720703125, 0.0384063720703125, 0.0384063720703125]",24,25
Edit the following sentence: She slip on the ice and fell.,"[0.098388671875, 0.50811767578125, 0.4405517578125, 0.0325164794921875, 0.13690185546875, 0.0287322998046875, 0.02782440185546875, 0.047332763671875, 0.0273284912109375, 0.0287322998046875, 0.167022705078125, 0.01448822021484375, 0.0196685791015625, 0.13275146484375, 0.024200439453125, 0.028228759765625, 0.0287322998046875, 0.040435791015625, 0.0287322998046875, 0.028228759765625, 0.0287322998046875, 0.0325164794921875, 0.028228759765625, 0.1844482421875, 0.0287322998046875]",18,25
"Arrange these words in alphabetical order: apples, birds, monkeys","[0.0330047607421875, 0.0330047607421875, 0.04434967041015625, 0.0167083740234375, 0.0167083740234375, 0.04156494140625, 0.0330047607421875, 0.0796051025390625, 0.263519287109375, 0.0413055419921875, 0.097686767578125, 0.04434967041015625, 0.0330047607421875, 0.0330047607421875, 0.0330047607421875, 0.0334930419921875, 0.03652191162109375, 0.0330047607421875, 0.057403564453125, 0.0330047607421875, 0.0330047607421875, 0.101806640625, 0.0330047607421875, 0.0536041259765625, 0.0825347900390625]",18,25
Edit this sentence to make it more concise: This person was somebody who was very kind to me.,"[0.017238616943359375, 0.017238616943359375, 0.017238616943359375, 0.017238616943359375, 0.017238616943359375, 0.0205230712890625, 0.0205230712890625, 0.0205230712890625, 0.0205230712890625, 0.0205230712890625, 0.01914215087890625, 0.01914215087890625, 0.018280029296875, 0.018280029296875, 0.018280029296875, 0.01503753662109375, 0.02017974853515625, 0.01503753662109375, 0.01503753662109375, 0.01503753662109375, 0.0189361572265625, 0.0189361572265625, 0.0189361572265625, 0.02880859375, 0.0189361572265625]",25,25
Change this sentence from passive to active voice:  The new policy was announced by the mayor.,"[0.045562744140625, 0.045562744140625, 0.042724609375, 0.042724609375, 0.042724609375, 0.042724609375, 0.042724609375, 0.042724609375, 0.042724609375, 0.042724609375, 0.042724609375, 0.042724609375, 0.042724609375, 0.042724609375, 0.042724609375, 0.042724609375, 0.042724609375, 0.042724609375, 0.042724609375, 0.042724609375, 0.042724609375, 0.042724609375, 0.042724609375, 0.042724609375, 0.042724609375]",25,25
Rewrite the following sentence using a pronoun: She is my friend so she can stay with me.,"[0.00887298583984375, 0.00887298583984375, 0.00887298583984375, 0.00887298583984375, 0.00887298583984375, 0.0437469482421875, 0.0437469482421875, 0.0437469482421875, 0.0437469482421875, 0.0437469482421875, 0.04681396484375, 0.04681396484375, 0.04681396484375, 0.04681396484375, 0.04681396484375, 0.00887298583984375, 0.00887298583984375, 0.00887298583984375, 0.00887298583984375, 0.0090484619140625, 0.085601806640625, 0.085601806640625, 0.085601806640625, 0.085601806640625, 0.085601806640625]",20,25
"Rewrite the sentence ""He is running"" in the present progressive tense.","[0.00824737548828125, 0.0032672882080078125, 0.0044116973876953125, 0.007266998291015625, 0.005580902099609375, 0.004199981689453125, 0.0167236328125, 0.0031843185424804688, 0.0030851364135742188, 0.0016112327575683594, 0.0106964111328125, 0.00356292724609375, 0.03564453125, 0.0036067962646484375, 0.0028209686279296875, 0.0040340423583984375, 0.0042819976806640625, 0.0020008087158203125, 0.004375457763671875, 0.00209808349609375, 0.00930023193359375, 0.0031843185424804688, 0.0031843185424804688, 0.0031843185424804688, 0.0031843185424804688]",25,25
"Give me the simple past tense of ""fall"".","[0.043060302734375, 0.016693115234375, 0.043060302734375, 0.029754638671875, 0.029754638671875, 0.043060302734375, 0.043060302734375, 0.016693115234375, 0.043060302734375, 0.043060302734375, 0.029754638671875, 0.0207061767578125, 0.029754638671875, 0.029754638671875, 0.029754638671875, 0.029754638671875, 0.029754638671875, 0.029754638671875, 0.029754638671875, 0.043060302734375, 0.029754638671875, 0.016693115234375, 0.029754638671875, 0.016693115234375, 0.043060302734375]",25,25
