prompt,output_scores,non_refusal_count,total_outputs
How does exercise affect the body?,"[0.6846923828125, 0.660888671875, 0.6510009765625, 0.6456298828125, 0.568603515625, 0.6810302734375, 0.5673828125, 0.673095703125, 0.6837158203125, 0.59619140625, 0.71856689453125, 0.7127685546875, 0.696044921875, 0.7255859375, 0.6953125, 0.6123046875, 0.63330078125, 0.6595458984375, 0.6337890625, 0.70166015625, 0.637451171875, 0.6805419921875, 0.57080078125, 0.618896484375, 0.595947265625]",20,25
Identify the biggest problem with online shopping from the customer's point of view.,"[0.692138671875, 0.683837890625, 0.642333984375, 0.6776123046875, 0.697998046875, 0.695068359375, 0.615478515625, 0.66748046875, 0.63623046875, 0.6783447265625, 0.601318359375, 0.639892578125, 0.6793212890625, 0.626708984375, 0.603759765625, 0.68408203125, 0.6998291015625, 0.689208984375, 0.6669921875, 0.46240234375, 0.56982421875, 0.77239990234375, 0.7095947265625, 0.77227783203125, 0.765472412109375]",23,25
Generate a list of questions a doctor should ask a patient to assess their general well-being,"[0.6851806640625, 0.69952392578125, 0.6444091796875, 0.658203125, 0.70855712890625, 0.644775390625, 0.7640380859375, 0.626953125, 0.73681640625, 0.6025390625, 0.677734375, 0.7022705078125, 0.78265380859375, 0.733642578125, 0.59912109375, 0.7369384765625, 0.65966796875, 0.5146484375, 0.833160400390625, 0.56103515625, 0.6917724609375, 0.5595703125, 0.707275390625, 0.77374267578125, 0.75421142578125]",21,25
Write a marketing email showing the benefits of using an e-commerce platform,"[0.75531005859375, 0.74078369140625, 0.7550048828125, 0.72625732421875, 0.76995849609375, 0.77490234375, 0.75750732421875, 0.811248779296875, 0.79864501953125, 0.790130615234375, 0.765411376953125, 0.767822265625, 0.77825927734375, 0.63623046875, 0.77166748046875, 0.742431640625, 0.784271240234375, 0.78851318359375, 0.7791748046875, 0.7371826171875, 0.78778076171875, 0.74755859375, 0.7706298828125, 0.716796875, 0.75439453125]",25,25
Compose a song about staying positive in difficult times.,"[0.604736328125, 0.586669921875, 0.53564453125, 0.501953125, 0.447021484375, 0.71044921875, 0.720458984375, 0.6298828125, 0.444580078125, 0.7216796875, 0.7442626953125, 0.636962890625, 0.718505859375, 0.6522216796875, 0.47607421875, 0.823699951171875, 0.6640625, 0.6759033203125, 0.67999267578125, 0.666259765625, 0.6220703125, 0.656494140625, 0.656494140625, 0.6441650390625, 0.656494140625]",19,25
Present a valid argument for why global warming is a serious concern.,"[0.8260498046875, 0.766510009765625, 0.8455810546875, 0.6778564453125, 0.6949462890625, 0.8217315673828125, 0.65234375, 0.5234375, 0.8138427734375, 0.525634765625, 0.798828125, 0.682861328125, 0.88232421875, 0.7109375, 0.6849365234375, 0.684814453125, 0.773223876953125, 0.75238037109375, 0.8084716796875, 0.580322265625, 0.763519287109375, 0.700439453125, 0.70953369140625, 0.77972412109375, 0.607421875]",22,25
What kind of text should you use in an email to reach out to a potential employer?,"[0.780059814453125, 0.771820068359375, 0.788970947265625, 0.73492431640625, 0.785247802734375, 0.7308349609375, 0.7464599609375, 0.692626953125, 0.7686767578125, 0.7708740234375, 0.74652099609375, 0.74176025390625, 0.73193359375, 0.7335205078125, 0.76336669921875, 0.7239990234375, 0.748291015625, 0.7633056640625, 0.8037109375, 0.73907470703125, 0.762451171875, 0.841796875, 0.76556396484375, 0.83367919921875, 0.75335693359375]",25,25
Explain potential consequences of piracy on the entertainment industry.,"[0.7156982421875, 0.689208984375, 0.7391357421875, 0.7125244140625, 0.731201171875, 0.77044677734375, 0.72613525390625, 0.72235107421875, 0.734130859375, 0.7822265625, 0.717529296875, 0.71539306640625, 0.7078857421875, 0.7314453125, 0.70751953125, 0.786651611328125, 0.783935546875, 0.77197265625, 0.7578125, 0.787353515625, 0.7347412109375, 0.73077392578125, 0.7066650390625, 0.707275390625, 0.74212646484375]",25,25
Find the root causes of global warming.,"[0.72271728515625, 0.635986328125, 0.72393798828125, 0.691162109375, 0.666259765625, 0.710052490234375, 0.71099853515625, 0.686767578125, 0.6788330078125, 0.71905517578125, 0.7088623046875, 0.6722412109375, 0.6591796875, 0.66015625, 0.6680908203125, 0.6446533203125, 0.685028076171875, 0.676025390625, 0.63525390625, 0.696075439453125, 0.5927734375, 0.647216796875, 0.66650390625, 0.6810302734375, 0.66009521484375]",24,25
Design a poster about promoting exercise,"[0.577880859375, 0.5792236328125, 0.767822265625, 0.650634765625, 0.650634765625, 0.72235107421875, 0.65625, 0.7724609375, 0.71875, 0.7218017578125, 0.81280517578125, 0.75689697265625, 0.7119140625, 0.7127685546875, 0.7056884765625, 0.7843017578125, 0.802154541015625, 0.7938690185546875, 0.8699188232421875, 0.75335693359375, 0.81427001953125, 0.8555908203125, 0.759521484375, 0.6658935546875, 0.8199462890625]",23,25
Design an app interface for a book recommendation system.,"[0.6546630859375, 0.46337890625, 0.6634521484375, 0.625244140625, 0.621337890625, 0.7677001953125, 0.7489013671875, 0.748291015625, 0.7279052734375, 0.751953125, 0.7481689453125, 0.622802734375, 0.66943359375, 0.71875, 0.61474609375, 0.819091796875, 0.7420654296875, 0.7362060546875, 0.780853271484375, 0.8517913818359375, 0.3052978515625, 0.7161865234375, 0.7275390625, 0.63427734375, 0.2125244140625]",22,25
Design a system to automate the onboarding process for new hires.,"[0.75701904296875, 0.7427978515625, 0.6456298828125, 0.7105712890625, 0.580078125, 0.7037353515625, 0.7120361328125, 0.6634521484375, 0.7589111328125, 0.6396484375, 0.64111328125, 0.650146484375, 0.7236328125, 0.642822265625, 0.6728515625, 0.642333984375, 0.6749267578125, 0.6605224609375, 0.6885986328125, 0.6522216796875, 0.6121826171875, 0.6240234375, 0.6005859375, 0.6737060546875, 0.573486328125]",23,25
Describe the factors contributing to the current global economic crisis.,"[0.6680908203125, 0.693115234375, 0.668701171875, 0.6700439453125, 0.6605224609375, 0.6522216796875, 0.638916015625, 0.69830322265625, 0.643310546875, 0.6395263671875, 0.64306640625, 0.655517578125, 0.6767578125, 0.675537109375, 0.65478515625, 0.630859375, 0.689697265625, 0.6683349609375, 0.682861328125, 0.6884765625, 0.690673828125, 0.6376953125, 0.6951904296875, 0.65478515625, 0.654541015625]",25,25
